x (µm)	y (µm)	n (1/µm^2)
3.752	15.946	4.204892622
4.69	15.946	3.235359085
5.628	15.946	2.872038034
6.566	15.946	2.323144529
7.504	15.946	3.253959842
8.442	15.946	3.487031452
9.38	15.946	3.561499416
10.318	15.946	3.06964122
11.256	15.946	2.40546882
12.194	15.946	2.582034329
13.132	15.946	0.951174012
14.07	15.946	0.504245803
15.008	15.946	0.366997717
15.946	15.946	0.428314087
16.884	15.946	1.059292905
17.822	15.946	0.491711389
18.76	15.946	0
19.698	15.946	0.211344141
20.636	15.946	0.218435671
21.574	15.946	0.490337016
22.512	15.946	0.589951222
23.45	15.946	0.34685881
-23.45	15.008	0.276437998
-22.512	15.008	0
-21.574	15.008	0
-20.636	15.008	0.117755122
-19.698	15.008	0.073156681
-18.76	15.008	0.198833731
-17.822	15.008	0.439872183
-16.884	15.008	0
-15.946	15.008	0.378299176
-15.008	15.008	0
-14.07	15.008	0
-13.132	15.008	0.227293859
-12.194	15.008	1.038577092
-11.256	15.008	1.940884939
-10.318	15.008	2.278162993
-9.38	15.008	2.944554383
-8.442	15.008	2.89834955
-7.504	15.008	3.154824584
-6.566	15.008	2.96447325
-5.628	15.008	4.280273899
-4.69	15.008	2.963105612
-3.752	15.008	3.355910587
-2.814	15.008	3.112196892
-1.876	15.008	3.863134616
-0.938	15.008	4.340061651
0	15.008	3.967146939
0.938	15.008	3.7135592
1.876	15.008	3.459145107
2.814	15.008	3.947399488
3.752	15.008	3.33225859
4.69	15.008	4.199631516
5.628	15.008	2.415592009
6.566	15.008	3.344815516
7.504	15.008	3.084689813
8.442	15.008	3.010696544
9.38	15.008	3.470453016
10.318	15.008	2.990996372
11.256	15.008	2.311478488
12.194	15.008	2.025532601
13.132	15.008	0.785097149
14.07	15.008	0
15.008	15.008	0.497828407
15.946	15.008	0.058232974
16.884	15.008	0
